Search language,Translation language,Search text,Translation text,Tags / Comments,Search example,Translation example,Source text,Document / URL
de,en,öfter,more often,"increasingly, frequently, several times",<em>öfter</em>,<em>more often</em>,
de,en,Leitungswasser,tap water," mains water,  plain water",<em>Leitungswasser</em>,<em>tap water</em>,
de,en,Auftrag,order,"behalf, job, mission",<em>Auftrag</em>,<em>order</em>,
de,en,vermeiden,avoid,"prevent, eliminate, reduce",<em>vermeiden</em>,<em>avoid</em>,
de,en,mangelhaft,defective,"poor, deficient, inadequate",<em>mangelhaft</em>,<em>defective</em>,
de,en,gerügt,reprimanded,"notified, reported, rebuked",<em>gerügt</em>,<em>reprimanded</em>,
de,en,Jubel,jubilation,"cheering, rejoicing, celebration",<em>Jubel</em>,<em>jubilation</em>,
de,en,gesorgt,provided,"ensured, taken care, caused",<em>gesorgt</em>,<em>provided</em>,
de,en,Sonderfall,special case,"specific case, exception, exceptional case",<em>Sonderfall</em>,<em>special case</em>,
de,en,gekehrt,turned,"swept, withdrawn, introspective",<em>gekehrt</em>,<em>turned</em>,
de,en,Hahn,hen,"tap, faucet, cockerel",<em>Hahn</em>,<em>hen</em>,
de,en,empfindet,feel,"perceives, finds, experiences",<em>empfindet</em>,<em>feel</em>,
de,en,verabschieden,say goodbye,"adopt, pass, say good-bye",<em>verabschieden</em>,<em>say goodbye</em>,
de,en,vollständig,completely," fully,  entirely",<em>vollständig</em>,<em>completely</em>,
de,en,klaffen,gape,"yawn, diverging, diverge",<em>klaffen</em>,<em>gape</em>,
de,en,gebiet,area,"field, territory, region",<em>gebiet</em>,<em>area</em>,
de,en,mehrfach,several times,"repeatedly, many times, on several occasions",<em>mehrfach</em>,<em>several times</em>,
de,en,Abfall,waste,"garbage, drop, trash",<em>Abfall</em>,<em>waste</em>,
de,en,Vormonat,previous month,"last month, previous months, preceding month",<em>Vormonat</em>,<em>previous month</em>,
de,en,vorgestelt,presented,...,<em>vorgestelt</em>,<em>presented</em>,
de,en,Vorgehen,approach,"action, procedure, process",<em>Vorgehen</em>,<em>approach</em>,
de,en,uneins,divided,"disagree, disunited, disagreed",<em>uneins</em>,<em>divided</em>,
de,en,Branchenverbände,industry associations,"interbranch organisations, inter-branch organisations, trade associations",<em>Branchenverbände</em>,<em>industry associations</em>,
de,en,Säule,pillar," column,  mainstay",<em>Säule</em>,<em>pillar</em>,
de,en,vielfach,often,"frequently, in many cases, widely",<em>vielfach</em>,<em>often</em>,
de,en,verlassen,leave,"rely, exit, abandon",<em>verlassen</em>,<em>leave</em>,
de,en,werben,advertise,"promote, recruit, attract",<em>werben</em>,<em>advertise</em>,
de,en,ausliest,reads out,"reading out, ...",<em>ausliest</em>,<em>reads out</em>,
de,en,auslassen,skip,"omit, miss, leave out",<em>auslassen</em>,<em>skip</em>,
de,en,eingreifen,intervene,"engage, interfere, encroach",<em>eingreifen</em>,<em>intervene</em>,
de,en,Vorstandssprecher,CEO,"Chief Executive Officer, spokesperson, board spokesman",<em>Vorstandssprecher</em>,<em>CEO</em>,
de,en,Unterzeichner,signatory,"signer, undersigned, signee",<em>Unterzeichner</em>,<em>signatory</em>,
de,en,angaben,information,"details, data, according",<em>angaben</em>,<em>information</em>,
de,en,Bauchlandungen,belly landings,...,<em>Bauchlandungen</em>,<em>belly landings</em>,
de,en,Steuer,tax,"wheel, helm, steering wheel",<em>Steuer</em>,<em>tax</em>,
de,en,Maut,toll,"road pricing, tolling, road charge",<em>Maut</em>,<em>toll</em>,
de,en,Klage,lawsuit,"action, complaint, claim",<em>Klage</em>,<em>lawsuit</em>,
de,en,festlegen,set," specify,  define",<em>festlegen</em>,<em>set</em>,
de,en,Rückzahlung,repayment,"refund, reimbursement, redemption",<em>Rückzahlung</em>,<em>repayment</em>,
de,en,Unrechtmäßige,unlawful,"illegal, wrongful, illegitimate",<em>Unrechtmäßige</em>,<em>unlawful</em>,
de,en,Transportbranche,transport industry,"transportation industry, transport sector, transportation sector",<em>Transportbranche</em>,<em>transport industry</em>,
de,en,spannend,exciting,"thrilling, fascinating, excited",<em>spannend</em>,<em>exciting</em>,
de,en,prägen,shape,"characterize, emboss, characterise",<em>prägen</em>,<em>shape</em>,
